,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
P1,,13 mA,,,128 mA,,,,,,,
P2,270 mA,,380 mA,,,706 mA,,,,,,
P3,,325 mA,,227 mA,,,325 mA,,,,,
P4,,,274 mA,,,,,147 mA,,,,
P5,278 mA,,,,,"1,01 A",,,347 mA,,,
P6,,812 mA,,,"1,07 A",,"1,15  A",,,"1,01 A",,
P7,,,283 mA,,,"1,09 A",,389 mA,,,268 mA,
P8,,,,101 mA,,,344 mA,,,,,"85,1 mA"
P9,,,,,289 mA,,,,,238 mA,,
P10,,,,,,954 mA,,,267 mA,,267 mA,
P11,,,,,,,245 mA,,,246 mA,,242 mA
P12,,,,,,,,227 mA,,,227 mA,
